Time,On,Temperature,Setpoint
7040,68,70.30625600817085,70
7050,68,70.31929418592593,70
7060,68,70.33229614652058,70
7070,68,70.34526199055801,70
7080,68,70.35819181836203,70
7090,68,70.37108572997768,70
7100,68,70.3839438251722,70
7110,68,70.39676620343559,70
7120,68,70.40955296398161,70
7130,68,70.42230420574832,70
7140,68,70.43502002739902,70
7150,68,70.44770052732291,70
7160,68,70.4603458036359,70
7170,68,70.47295595418136,70
7180,68,70.48553107653085,70
7190,68,70.49807126798493,70
7200,63,70.51057662557386,70
7210,63,70.45360280161393,70
7220,63,70.39678723827612,70
7230,63,70.34012949594756,70
7240,63,70.2836291362366,70
7250,63,70.22728572196928,70
7260,63,70.17109881718602,70
7270,63,70.11506798713829,70
7280,63,70.05919279828512,70
7290,63,70.0034728182899,70
7300,63,69.94790761601686,70
7310,63,69.89249676152792,70
7320,63,69.83723982607924,70
7330,63,69.78213638211791,70
7340,63,69.72718600327869,70
7350,63,69.6723882643807,70
7360,63,69.61774274142408,70
7370,63,69.56324901158679,70
7380,63,69.50890665322127,70
7390,68,69.45471524585122,70
7400,68,69.47011881461275,70
7410,68,69.48547959568326,70
7420,68,69.50079770791747,70
7430,68,69.51607326983992,70
7440,68,69.53130639964593,70
7450,68,69.54649721520246,70
7460,68,69.56164583404912,70
7470,68,69.57675237339899,70
7480,68,69.59181695013953,70
7490,68,69.60683968083359,70
7500,68,69.62182068172017,70
7510,68,69.63676006871539,70
7520,68,69.65165795741339,70
7530,68,69.66651446308725,70
7540,68,69.68132970068979,70
7550,68,69.69610378485453,70
7560,68,69.7108368298966,70
7570,68,69.72552894981355,70
7580,68,69.7401802582863,70
7590,68,69.75479086867995,70
7600,68,69.76936089404472,70
7610,68,69.78389044711682,70
7620,68,69.79837964031927,70
7630,68,69.81282858576282,70
7640,68,69.82723739524681,70
7650,68,69.84160618026002,70
7660,68,69.85593505198152,70
7670,68,69.87022412128157,70
7680,68,69.88447349872246,70
7690,68,69.89868329455933,70
7700,68,69.91285361874111,70
7710,68,69.92698458091127,70
7720,68,69.94107629040874,70
7730,68,69.95512885626871,70
7740,68,69.96914238722351,70
7750,68,69.98311699170345,70
7760,68,69.99705277783761,70
7770,68,70.01094985345472,70
7780,68,70.02480832608401,70
7790,68,70.038628302956,70
7800,68,70.05240989100335,70
7810,68,70.06615319686168,70
7820,68,70.07985832687038,70
7830,68,70.09352538707353,70
7840,68,70.10715448322054,70
7850,68,70.12074572076715,70
7860,68,70.13429920487613,70
7870,68,70.14781504041814,70
7880,68,70.16129333197253,70
7890,68,70.17473418382816,70
7900,68,70.1881376999842,70
7910,68,70.2015039841509,70
7920,68,70.21483313975048,70
7930,68,70.22812526991784,70
7940,68,70.2413804775014,70
7950,68,70.2545988650639,70
7960,68,70.26778053488316,70
7970,68,70.28092558895293,70
7980,68,70.29403412898361,70
7990,68,70.3071062564031,70
8000,68,70.32014207235753,70
8010,68,70.33314167771209,70
8020,68,70.34610517305178,70
8030,68,70.3590326586822,70
8040,68,70.3719242346303,70
8050,68,70.38478000064521,70
8060,68,70.39760005619897,70
8070,68,70.41038450048731,70
8080,68,70.4231334324304,70
8090,68,70.43584695067365,70
8100,68,70.44852515358843,70
8110,68,70.46116813927291,70
8120,68,70.47377600555271,70
8130,68,70.48634884998174,70
8140,68,70.4988867698429,70
8150,63,70.51138986214889,70
8160,63,70.45441377919848,70
8170,63,70.39759596314514,70
8180,63,70.34093597435863,70
8190,63,70.28443337442985,70
8200,63,70.22808772616756,70
8210,63,70.17189859359486,70
8220,63,70.115865541946,70
8230,63,70.0599881376628,70
8240,63,70.00426594839152,70
8250,63,69.94869854297932,70
8260,63,69.89328549147105,70
8270,63,69.83802636510585,70
8280,63,69.78292073631388,70
8290,63,69.72796817871301,70
8300,63,69.67316826710548,70
8310,63,69.61852057747464,70
8320,63,69.56402468698165,70
8330,63,69.50968017396227,70
8340,68,69.45548661792347,70
8350,68,69.4708880439848,70
8360,68,69.48624668830706,70
8370,68,69.50156266972843,70
8380,68,69.51683610675695,70
8390,68,69.53206711757153,70
8400,68,69.54725582002271,70
8410,68,69.56240233163376,70
8420,68,69.57750676960144,70
8430,68,69.59256925079698,70
8440,68,69.60758989176699,70
8450,68,69.62256880873431,70
8460,68,69.63750611759893,70
8470,68,69.65240193393893,70
8480,68,69.66725637301133,70
